# catalogo de jogos do Astra — nome de executavel -> titulo
# destilado de https://discord.com/api/v9/applications/detectable
# 11104 entradas · instantaneo de 2026-08-27
# refazer com: node tools/atualizar-catalogo-de-jogos.mjs
-arcane raise-/game.exe	Arcane Raise
atomicpicnic/atomic_picnic.exe	Atomic Picnic
atomicrops/atomicrops.exe	Atomicrops
atomzombiesmasher/atomzombiesmasher.exe	Atom Zombie Smasher
atri -my dear moments-/atri-mydearmoments-.exe	Atri: My Dear Moments
attack on toys/attack on toys.exe	Attack on Toys
attila.exe	Total War: Attila
audioshield/audioshield.exe	Audioshield
audiosurf.exe	Audiosurf
audiosurf2.exe	Audiosurf 2
aura kingdom/_launcher.exe	Aura Kingdom
aura kingdom/launcher.exe	Aura Kingdom
aura/aurahentaicards.exe	Aura: Hentai Cards
aurelia/aurelia.exe	Aurelia
aurora hills chapter 1/aurora hills chapter 1.exe	Aurora Hills: Chapter 1
auto chess/acphoenix.exe	Auto Chess
autobahn police simulator 2/highwaypatrol2.exe	Autobahn Police Simulator 2
autobahn police simulator/highwaypatrol2015.exe	Autobahn Police Simulator
autoforge/autoforge.exe	AutoForge
automachef/automachef.exe	Automachef
automation empire/automationempire.exe	Automation Empire
automobilista 2 demo/ams2demoavx.exe	Automobilista 2 Demo VW TSI Cup
automobilista 2/ams2avx.exe	Automobilista 2
autonauts/autonauts.exe	Autonauts
autopsy simulator/autopsy simulator.exe	Autopsy Simulator
autorogue/autorogue.exe	Auto Rogue
ava.exe	Alliance of Valiant Arms
avakin life/avakinlife.exe	Avakin Life
avalonlords.exe	Avalon Lords: Dawn Rises
avernum escape from the pit/avernum.exe	Avernum: Escape from the Pit
avgame-win64-shipping.exe	Vampyr
aviary attorney/nw.exe	Aviary Attorney
aviassembly/aviassembly.exe	Aviassembly
avicii - invector/avicii invector.exe	AVICII Invector
avp3.exe	Aliens vs. Predator
avp_dx11.exe	Aliens vs. Predator
awaria/awaria.exe	Awaria
away/away.exe	Away
awesomenauts.exe	Awesomenauts
awkward dimensions redux/awkward dimensions redux.exe	Awkward Dimensions Redux
awol/awol.exe	A.W.O.L.
axiom content/axiom.exe	Axiom
axiomverge.exe	Axiom Verge
axis & allies online/axisandallies1942online.exe	Axis & Allies 1942 Online
axon td uprising/axon td uprising.exe	Axon TD: Uprising
azure striker gunvolt/exe/gv_win.exe	Azure Striker GUNVOLT
b100x/b100x.exe	B100X: Auto Dungeon RPG
b24f49f9-d7fe-40b6-8f4d-65b0c6bf6a6b/borderlands.exe	Tales from the Borderlands
b2ba/b2b apocalypse.exe	Bad 2 Bad: Apocalypse
baba is you.exe	Baba Is You
baba is you/baba is you.exe	Baba Is You
babbdi/babbdi.exe	BABBDI
babble royale/babbleroyale.exe	Babble Royale
baby steps/babysteps.exe	Baby Steps
back to the future ep 1/backtothefuture101.exe	Back to the Future: The Game - Episode 1: It's About Time
backpack battles/backpackbattles.exe	Backpack Battles
backpack hero demo/backpack hero.exe	Backpack Hero Demo
backpack hero/backpack hero.exe	Backpack Hero
backtobed/backtobed.exe	Back to Bed
backup/tanki online.exe	Tanki Online
backyard baseball 2001/baseball 2001.exe	Backyard Baseball '01
backyard baseball 97/baseball.exe	Backyard Baseball '97
backyard soccer 98/soccer.exe	Backyard Soccer '98
bacon may die/bacon.exe	Bacon May Die
bad dream fever/bad dream fever.exe	Bad Dream: Fever
bad end theater/badendtheater.exe	BAD END THEATER
bad parenting 1 mr. red face/bad parenting 1.exe	Bad Parenting 1: Mr. Red Face
badland/badland.exe	Badland: Game of the Year Edition
badlandscrew/badlandscrew.exe	Badlands Crew
badnorth.exe	Bad North
baf/datacachepreprocessor.exe	ArmA 2: Operation Arrowhead
bakery magnate/bakery magnate.exe	Bakery Magnate: Beginning
bakso simulator/bakso simulator.exe	Bakso Simulator
balancity/nw.exe	BalanCity
balatro/balatro.exe	Balatro
baldi's basics classic remastered/baldi.exe	Baldi's Basics Classic Remastered
baldi's basics plus/baldi.exe	Baldi's Basics Plus
baldur's gate - dark alliance/baldur's gate - dark alliance.exe	Baldur's Gate: Dark Alliance
baldur's gate enhanced edition/baldur.exe	Baldur's Gate: Enhanced Edition
baldur's gate ii enhanced edition/baldur.exe	Baldur's Gate II: Enhanced Edition
ball 2d/ball 2d.exe	Ball 2D
ball 3d.exe	Soccer Online: Ball 3D
ball at work/ball at work.exe	Ball at Work: The Ultimate Speedrun Platformer!
ballionaire/ballionaire-windows.exe	BALLIONAIRE
ballisticng/ballisticng.exe	BallisticNG
ballisticoverkill.exe	Ballistic Overkill
ballxpit/balls.exe	BALL x PIT
banana hell mountain of madness/banana_hell2.exe	Banana Hell: Mountain of Madness
banana hell/banana_hell.exe	Banana Hell
banana shooter/banana shooter.exe	Banana Shooter
banana/banana.exe	Banana
bandle tale/bandle tale.exe	Bandle Tale: A League of Legends Story
banished/application-steam-x64.exe	Banished
banker simulator prologue/banker simulator prologue.exe	Banker Simulator
bannersofruin/bannersofruin.exe	Banners of Ruin
banzai escape 2 subterranean/banzai escape 2 subterranean.exe	Banzai Escape 2: Subterranean
bapbap/bapbap.exe	BAPBAP
bard idle/bard.exe	Bard Idle
bare witness/barewitness.exe	Bare Witness
baremetal.exe	Bare Metal
barista simulator/barista simulator.exe	Barista Simulator
barji kart/barjikart.exe	Barji Kart
barony/barony.exe	Barony
barotrauma/barotrauma.exe	Barotrauma
barrier x/barrierx.exe	BARRIER X
barro 2020/barro 2020.exe	Barro 2020
barro f/barro f.exe	Barro F
barro/barro.exe	Barro
base defense/bdef.exe	Base Defense
basement/basement_64.exe	Basement
basement/the basement collection.exe	The Basement Collection
bash the teacher/bashtheteacher.exe	Bash the Teacher!
bastard bonds/bb.exe	Bastard Bonds
bastion.exe	Bastion
batim.exe	Bendy and the Ink Machine
batla/batla.exe	Batla
batman the enemy within - the telltale series/batman2.exe	Batman: The Enemy Within
batman the telltale series/batman.exe	Batman: The Telltale Series
batmanac.exe	Batman: Arkham City - Game of the Year Edition
batmanak.exe	Batman: Arkham Knight
batmanorigins.exe	Batman: Arkham Origins
battalion.exe	Battalion Legacy
battle ball/dodgeball.exe	Battle Ball
battle chasers nightwar/bc.exe	Battle Chasers: Nightwar
battle clash/battle clash.exe	Battle Clash
battle cry of freedom demo/bcof.exe	Battle Cry of Freedom Demo
battle cry of freedom/bcof.exe	Battle Cry of Freedom
battle grounds iii/bg3.exe	Battle Grounds III
battle islands/battleislands.exe	Battle Islands
battle of empires  1914-1918/boe-1914.exe	Battle of Empires: 1914-1918
battle rc/battle rc.exe	Battle RC
battle realms/battle_realms_f.exe	Battle Realms: Zen Edition
battle talent demo/battletalent.exe	Battle Talent Demo
battle talent/battletalent.exe	Battle Talent
battle vs chess/battlevschess.exe	Battle vs. Chess
battleblocktheater.exe	BattleBlock Theater
battlechefbrigade.exe	Battle Chef Brigade
battlefield 2042/bf2042.exe	Battlefield 2042
battlefield 6 event/bf6event.exe	Battlefield 6
battlefield 6/bf6.exe	Battlefield 6
battlefield v/bfv.exe	Battlefield V
battlefront.exe	Star Wars: Battlefront
battlefrontii.exe	Star Wars: Battlefront II
battlegrounds.exe	Star Wars: Galactic Battlegrounds Saga
battlegrounds_cc.exe	Star Wars: Galactic Battlegrounds Saga
battlegrounds_x1.exe	Star Wars: Galactic Battlegrounds Saga
battlegrounds_x2.exe	Star Wars: Galactic Battlegrounds Saga
battlerite.exe	Battlerite
battleriteroyale.exe	Battlerite Royale
battleroyaletrainer-win64-shipping.exe	Battle Royale Trainer
battles-win.exe	Bloons TD Battles
battleshapers/battleshapers.exe	Battle Shapers
battlesquares.exe	Battle Squares
battlestar galactica deadlock/autorun.exe	BATTLESTAR GALACTICA Deadlock
battlestations midway/battlestationsmidway.exe	Battlestations: Midway
battlestations pacific/battlestationspacific.exe	Battlestations: Pacific
battlestick/battlestick.exe	BattleStick
battletech.exe	BATTLETECH
battletoads/battletoads.exe	Battletoads
battleworldskronos.exe	Battle Worlds: Kronos
bayonetta.exe	Bayonetta
bazaarsimulatorprologue/bazaar simulator prologue.exe	Bazaar Simulator
bbcse.exe	BlazBlue: Continuum Shift Extend
bbq simulator the squad/bbq_simulator_thesquad.exe	BBQ Simulator: The Squad
bbtag.exe	BlazBlue: Cross Tag Battle
beacon pines/beacon pines.exe	Beacon Pines
beamng.drive.exe	BeamNG.drive
beamng.drive.x64.exe	BeamNG.drive
bean battles/beanbattles.exe	Bean Battles
bean/bean.exe	Bean
bear and breakfast/bearandbreakfast.exe	Bear & Breakfast
bear party adventure/hl2.exe	Bear Party: Adventure
bears, vodka, stalingrad!/bears, vodka, stalingrad.exe	BEAR, VODKA, STALINGRAD!
beast battle simulator/beastbattlesimulator.exe	Beast Battle Simulator
beat banger/beatbanger.exe	Beat Banger
beat cop/beatcop.exe	Beat Cop
beat hazard 2/beathazard2.exe	Beat Hazard 2
beat me! - puppetonia tournament/beat me - puppetonia tournament.exe	Beat Me! Puppetonia Tournament
beat saber.exe	Beat Saber
beathazard.exe	Beat Hazard
beavers be dammed/beaversbedammed.exe	Beavers Be Dammed
becalm/becalm.exe	Becalm
becastled/becastled.exe	Becastled
become a vtuber!/v-lover.exe	V-Lover!
bee island/bee island.exe	Bee Island
beecarbonize/beecarbonize.exe	Beecarbonize
before we leave/before we leave.exe	Before We Leave
before your eyes/before your eyes.exe	Before Your Eyes
befunnynow/befunnynow.exe	Be Funny Now!
beginnersguide.exe	The Beginner's Guide
behindtheframe_pc_steam/behind the frame.exe	Behind the Frame: The Finest Scenery
beholder 2/beholder2.exe	Beholder 2
beholder conductor/beholderconductor.exe	Beholder: Conductor
beholder.exe	Beholder
being a dik/beingadik.exe	Being a DIK
bejblitz.exe	Bejeweled Blitz
bejeweled3.exe	Bejeweled 3
belko vr/belkovr.exe	Belko VR: An Escape Room Experiment
below the stone/below the stone.exe	Below the Stone
below/belowd3d11steam_x64.exe	Below
beltmatic/beltmatic.exe	Beltmatic
bendy and the dark revival/bendy and the dark revival.exe	Bendy and the Dark Revival
bendy and the ink machine demo/bendy and the ink machine - demo.exe	Bendy and the Ink Machine: Demo
bendy lone wolf/bendy - lone wolf.exe	Bendy: Lone Wolf
bendy secrets of the machine/bendy secrets of the machine.exe	Bendy: Secrets of the Machine
beneath oresa/beneath-oresa.exe	Beneath Oresa
beneath the surface/beneath the surface.exe	Beneath the Surface
benefitship/benefitship.exe	Benefitship
bepinex.splashscreen/bepinex.splashscreen.gui.exe	Koikatsu Party
berserk and the band of the hawk/berserk.exe	Berserk and the Band of the Hawk
berserkordie/berserkordie.exe	Berserk or Die
besetup/setup_battleyearma2.exe	Arma 2
besetup/setup_battleyearmagold.exe	ARMA: Gold Edition
besiege.exe	Besiege
bethesda.net_launcher.exe	The Elder Scrolls Online
beton brutal/betonbrutal.exe	BETON BRUTAL
betrayal beach/betrayal beach.exe	Betrayal Beach
between the stars/betweenthestars.exe	Between the Stars
between two worlds/betweentwoworlds.exe	Between Two Worlds
beyond blue/beyondblue.exe	Beyond Blue
beyond the sword/civ4beyondsword.exe	Sid Meier's Civilization IV: Beyond the Sword
beyond two souls demo/beyondtwosouls_steam.exe	Beyond: Two Souls Demo
beyond two souls/beyondtwosouls_steam.exe	Beyond: Two Souls
beyond/beyond.exe	Beyond Contact
beyond_divinity/configtool.exe	Beyond Divinity
bf1.exe	Battlefield 1
bf2.exe	Battlefield 2
bf2142.exe	Battlefield 2142
bf3.exe	Battlefield 3
bf4.exe	Battlefield 4
bf4cte.exe	Battlefield 4
bf6event.exe	Battlefield 6
bfbc2game.exe	Battlefield: Bad Company 2
bfh.exe	Battlefield Hardline: Ultimate Edition
bge.exe	Beyond Good & Evil
bgt.exe	Bloody Good Time
bh6.exe	Resident Evil 6
bhd.exe	Resident Evil
bia.exe	Brothers in Arms: Road to Hill 30
big ambitions/big ambitions.exe	Big Ambitions
big bang empire/big bang empire.exe	Big Bang Empire
big pharma/big pharma.exe	Big Pharma
bigscreen.exe	Bigscreen Beta
biker garage/bikergarage.exe	Biker Garage
billie's wheelie/billie wheelie.exe	Billie's Wheelie
bin/acrofs_x64.exe	Acro FS
bin/agk.exe	AppGameKit Classic
bin/application.exe	Death end re;Quest
bin/arahistoryuntold.exe	Ara: History Untold
bin/atg-steam-engine-demo.exe	Steam Engine Simulator
bin/atlasfallen (vk).exe	Atlas Fallen
bin/avorion.exe	Avorion
bin/bg3.exe	Baldur's Gate III
bin/bg3_dx11.exe	Baldur's Gate III
bin/bssndrpt.exe	Supreme Commander
bin/carmageddon_max_damage.exe	Carmageddon: Max Damage
bin/castlevanialosue.exe	Castlevania: Lords of Shadow - Ultimate Edition
bin/clos2.exe	Castlevania: Lords of Shadow 2
bin/configurator.exe	The Witcher 2: Assassins of Kings - Enhanced Edition
bin/crucible.exe	Crucible
bin/cstrike-online.exe	Counter-Strike Nexon
bin/dcs.exe	DCS World
bin/dmcr.exe	Cossacks: Back to War
bin/dreadmyst.exe	Dreadmyst
bin/duke3d.exe	Duke Nukem 3D: Megaton Edition
bin/expeditions.exe	Expeditions: A MudRunner Game
bin/farcry6.exe	Far Cry 6
bin/fc3_blooddragon_d3d11.exe	Far Cry 3: Blood Dragon
bin/florensiaen.exe	Florensia
bin/framed.exe	FRAMED Collection
bin/frontend.exe	Tiger Knight: Empire War
bin/ghpc.exe	Gunner, HEAT, PC!
bin/gmad.exe	Garry's Mod
bin/godmode.exe	God Mode
bin/gotg.exe	Marvel's Guardians of the Galaxy
bin/griftlands.exe	Griftlands
bin/h5_game.exe	Heroes of Might and Magic V: Tribes of the East
bin/helldivers2.exe	HELLDIVERS 2
bin/hellgate_sp_x86.exe	Hellgate: London
bin/indy.exe	Indiana Jones and the Emperor's Tomb
bin/krita.exe	Krita
bin/l4d2_workshop_manager.exe	Left 4 Dead 2
bin/luftrausers.exe	Luftrausers
bin/mcpixel3.exe	McPixel 3
bin/microvolts.exe	MICROVOLTS: Recharged
bin/nascar15.exe	NASCAR 15: Victory Edition
bin/necrovision.exe	NecroVisioN
bin/ninja.exe	Mark of the Ninja: Remastered
bin/nw.exe	Bloodbath Kavkaz
bin/nza.exe	Sniper Elite: Nazi Zombie Army
bin/overdose.exe	Painkiller: Overdose
bin/protolion.exe	TROUBLESHOOTER: Abandoned Children
bin/rotwood.exe	Rotwood
bin/samhd.exe	Serious Sam HD: The First Encounter
bin/samhd_tse.exe	Serious Sam HD: The Second Encounter
bin/settlers6r.exe	The Settlers: Rise of an Empire - History Edition
bin/settlershok.exe	The Settlers : Heritage of Kings - History Edition
bin/sev2_remastered.exe	Sniper Elite V2 Remastered
bin/shank.exe	Shank
bin/shank2.exe	Shank 2
bin/shooter_win64_release.exe	X-Morph: Defense
bin/sniperelite4_dx11.exe	Sniper Elite 4
bin/sniperelitev2.exe	Sniper Elite V2
bin/snowrunner.exe	SnowRunner
bin/spacelords.exe	Spacelords
bin/squishy.exe	Squishy the Suicidal Pig
bin/srs.exe	Street Racing Syndicate
bin/stalcraftw.exe	Stalzone
bin/stalzonew.exe	Stalzone
bin/strangebrigade.exe	Strange Brigade
bin/supertux2.exe	SuperTux
bin/supporttool.exe	Divinity: Original Sin II - Definitive Edition
bin/sw.exe	Shadow Warrior Classic Redux
bin/syrianwarfare.exe	Syrian Warfare
bin/tacint.exe	Tactical Intervention
bin/thesurge2.exe	The Surge 2
bin/trainzdiag.exe	Trainz Simulator 12
bin/v2r.exe	Megadimension Neptunia VIIR
bin/watchdogslegion.exe	Watch Dogs: Legion
bin/zombiedriverhd.exe	Zombie Driver HD
bin32/enemyfront.exe	Enemy Front
bin32/gasguzzlers.exe	Gas Guzzlers Extreme
bin64/aerofly_fs_2.exe	Aerofly FS 2 Flight Simulator
bin64/crysis2remastered.exe	Crysis 2 Remastered
bin64/crysis3remastered.exe	Crysis 3 Remastered
bin64/crysisremastered.exe	Crysis Remastered
bin64/gujian3.exe	Gujian 3
bin64/gujianol.exe	Swords of Legends Online
bin64/lichdombattlemage.exe	Lichdom: Battlemage
bin64/newworld.exe	New World: Aeternum
bin64/tinyandbig.exe	Tiny and Big: Grandpa's Leftovers
bin64release/game.exe	Warface
bin_ship/daoriginsconfig.exe	Dragon Age: Origins - Ultimate Edition
bin_ship/daupdater.exe	Dragon Age: Origins - Ultimate Edition
bin_x86/nyancat.exe	Nyan Cat: Lost In Space
bina1/testapp.exe	Heroes of Might and Magic V
binaries/ava_be.exe	AVA: Dog Tag
binaries/biahh.exe	Brothers in Arms: Hell's Highway
binaries/borderlands.exe	Borderlands
binaries/ck3.exe	Crusader Kings III
binaries/darktide.exe	Warhammer 40,000: Darktide
binaries/dp.exe	DEADPOOL
binaries/eu5.exe	Europa Universalis V
binaries/gauntlet.exe	Gauntlet: Slayer Edition
binaries/grimmgame.exe	Grimm
binaries/imperator.exe	Imperator: Rome
binaries/modmanager.exe	A Hat in Time
binaries/pbsvc_pg.exe	America's Army: Proving Grounds
binaries/singularity.exe	SINGULARITY
binaries/twfc.exe	Transformers: War for Cybertron
binaries/vermintide2.exe	Warhammer: Vermintide 2
binaries/victoria3.exe	Victoria 3
binaries_dx12/vermintide2_dx12.exe	Warhammer: Vermintide 2
binaries_x64/gowde-steam.exe	Gears of War: Reloaded
binary domain/binarydomainconfiguration.exe	Binary Domain
binary/secret_of_mana.exe	Secret of Mana
binding_of_isaac.exe	The Binding of Isaac
bingle bingle/bb_windows.exe	Bingle Bingle
bio inc. redemption/bioincredemption.exe	Bio Inc. Redemption
bio prototype/bio prototype.exe	Bio Prototype
bio4.exe	Resident Evil 4: Ultimate HD Edition
biohazard re2 z/re2.exe	Resident Evil 2
biohazard village z version/installermessage.exe	Biohazard Village: Z Version
bionic commando/bionic_commando.exe	Bionic Commando
bioprototype/bioprototype.exe	Bioprototype
bioshock.exe	BioShock Remastered
bioshock2.exe	BioShock 2
bioshock2hd.exe	BioShock 2 Remastered
bioshockhd.exe	BioShock Remastered
bioshockinfinite.exe	BioShock Infinite
biped/biped.exe	Biped
biphase/biphase.exe	Biphase
bird/bird.exe	Bird
birdgut/birdgut.exe	BirdGut
birds aren't real the game/birds aren't real.exe	Birds Aren’t Real
birth/birth.exe	Birth
birthdays the beginning/game.exe	Birthdays the Beginning
bit blaster xl/bitblasterxl.exe	Bit Blaster XL
bit heroes.exe	Bit Heroes
bit.trip runner/runner.exe	BIT.TRIP RUNNER
bitburner/bitburner.exe	Bitburner
bitcraft online/bitcraft.exe	BitCraft Online
bits & bops demo/bits & bops.exe	Bits & Bops
bits & bops/bits & bops.exe	Bits & Bops
bittriprunner2/runner2.exe	BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien
black book prologue/black book.exe	Black Book
black book/black book.exe	Black Book
black clover quartet knights/quartetknights.exe	Black Clover: Quartet Knights
black forest/black forest.exe	Black Forest
black mesa/bms.exe	Black Mesa
black rose/black rose.exe	Black Rose
black skylands origins/blackskylands.exe	Black Skylands: Origins
black skylands/blackskylands.exe	Black Skylands
black souls/game.exe	BLACK SOULS
blackdesert32.exe	Black Desert
blackdesert64.exe	Black Desert
blackguards 2.exe	Blackguards 2
blackguards.exe	Blackguards
blackhole/bh.exe	BLACKHOLE
blackjack 21 blackjackist/blackjack.exe	Blackjack 21: Blackjackist
blackjack championship/blackjack championship.exe	Blackjack Championship
blackjack&waifus_win64/blackjack&waifus.exe	BLACKJACK and WAIFUS
blacklist_dx11_game.exe	Tom Clancy's Splinter Cell: Blacklist
blackmirror.exe	Black Mirror
blackops.exe	Call of Duty: Black Ops
blackops3.exe	Call of Duty: Black Ops III
blackops4.exe	Call of Duty: Black Ops 4
blackopscoldwar.exe	Call of Duty: Black Ops Cold War
blackopsmp.exe	Call of Duty: Black Ops
blackout z slaughterhouse edition/blackout z.exe	Blackout Z: Slaughterhouse Edition
blacksad - under the skin/blacksad.exe	BLACKSAD: Under the Skin
blackshot.exe	BlackShot
blacksmith master/blacksmith master.exe	Blacksmith Master
blacksurvival.exe	Black Survival
blackthefall/blackthefall.exe	Black the Fall
